-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
python-blosc2 version: 2.0.0.a1
Blosc version: 2.0.0a4.dev ($Date:: 2016-08-04 #$)
Compressors available: ['blosclz', 'lz4', 'lz4hc', 'lizard', 'zstd']
Compressor library versions:
  BloscLZ: 1.1.0
  LZ4: 1.8.0
  Lizard: 1.0.0
  Zstd: 1.3.3
Python version: 3.6.3 |Anaconda, Inc.| (default, Oct 27 2017, 12:22:41) [MSC v.1900 64 bit (AMD64)]
Platform: Windows-10-AMD64 (10.0.15063)
Processor: Intel64 Family 6 Model 60 Stepping 3, GenuineIntel
Byte-ordering: little
Detected cores: 4
Number of threads to use by default: 4
-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
BTune version: 1.0.0.
Perfomance Mode: BALANCED, Compression Mode: BALANCED, Bandwidth: 10 GB/s.
Behaviour: Waits - 0, Softs - 10, Hards - 3, Repeat Mode - STOP.
|    Codec   | Filter | C.Level | Blocksize | Shufflesize | C.Threads | D.Threads |   Score   |  C.Ratio   |   BTune State   | Readapt | Winner
|    lz4     |      0 |       7 |       256 |           8 |         4 |         4 |   0.00447 |         1x |  CODEC_FILTER   |  HARD   | W
|    lz4     |      1 |       7 |       256 |           8 |         4 |         4 |   0.00238 |      71.9x |  CODEC_FILTER   |  HARD   | W
|    lz4     |      2 |       7 |       256 |           8 |         4 |         4 |    0.0051 |      34.8x |  CODEC_FILTER   |  HARD   | -
|   lizard   |      0 |       7 |       256 |           8 |         4 |         4 |   0.00593 |         1x |  CODEC_FILTER   |  HARD   | -
|   lizard   |      1 |       7 |       256 |           8 |         4 |         4 |   0.00412 |      8.39x |  CODEC_FILTER   |  HARD   | -
|   lizard   |      2 |       7 |       256 |           8 |         4 |         4 |   0.00554 |      35.6x |  CODEC_FILTER   |  HARD   | -
|    zstd    |      0 |       3 |       256 |           8 |         4 |         4 |    0.0341 |      1.49x |  CODEC_FILTER   |  HARD   | -
|    zstd    |      1 |       3 |       256 |           8 |         4 |         4 |   0.00695 |       216x |  CODEC_FILTER   |  HARD   | -
|    zstd    |      2 |       3 |       256 |           8 |         4 |         4 |   0.00747 |       281x |  CODEC_FILTER   |  HARD   | -
|    lz4     |      1 |       7 |       256 |          16 |         4 |         4 |     0.002 |      42.3x |  SHUFFLE_SIZE   |  HARD   | -
|    lz4     |      1 |       7 |       256 |           4 |         4 |         4 |   0.00146 |       112x |  SHUFFLE_SIZE   |  HARD   | W
|    lz4     |      1 |       7 |       256 |           2 |         4 |         4 |   0.00144 |       101x |  SHUFFLE_SIZE   |  HARD   | -
|    lz4     |      1 |       7 |       256 |           4 |         3 |         4 |   0.00556 |       112x |  THREADS_COMP   |  HARD   | -
|    lz4     |      1 |       7 |       256 |           4 |         4 |         3 |   0.00322 |       112x | THREADS_DECOMP  |  HARD   | -
|    lz4     |      1 |       5 |       256 |           4 |         4 |         4 |   0.00303 |       112x |     CLEVEL      |  HARD   | -
|    lz4     |      1 |       7 |      1024 |           4 |         4 |         4 |   0.00955 |       123x |    BLOCKSIZE    |  HARD   | -
|    lz4     |      1 |       7 |        64 |           4 |         4 |         4 |    0.0036 |      81.8x |    BLOCKSIZE    |  HARD   | -
|    lz4     |      1 |       6 |       256 |           4 |         4 |         4 |   0.00223 |       112x |     CLEVEL      |  SOFT   | -
|    lz4     |      1 |       8 |       256 |           4 |         4 |         4 |   0.00628 |       112x |     CLEVEL      |  SOFT   | -
|    lz4     |      1 |       7 |       128 |           4 |         4 |         4 |   0.00317 |      99.7x |    BLOCKSIZE    |  SOFT   | -
|    lz4     |      1 |       7 |       512 |           4 |         4 |         4 |   0.00256 |       119x |    BLOCKSIZE    |  SOFT   | -
